employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted,awards_won_flag,training_score_bucket,education_encoded,tenure_ratio
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5.0,8,0,49,0,0,medium,2,0.21621621621621623
65141,Operations,region_22,Bachelor's,m,other,1,30,5.0,4,0,60,0,0,medium,1,0.10810810810810811
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3.0,7,0,50,0,0,medium,1,0.1891891891891892
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1.0,10,0,50,0,0,medium,1,0.2702702702702703
48945,Technology,region_26,Bachelor's,m,other,1,45,3.0,2,0,73,0,0,high,1,0.05405405405405406
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3.0,7,0,85,0,0,very_high,1,0.1891891891891892
20379,Operations,region_20,Bachelor's,f,other,1,31,3.0,5,0,59,0,0,medium,1,0.13513513513513514
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3.0,6,0,63,0,0,high,2,0.16216216216216217
73202,Analytics,region_20,Bachelor's,m,other,1,28,4.0,5,0,83,0,0,very_high,1,0.13513513513513514
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5.0,5,0,54,0,0,medium,2,0.13513513513513514
29934,Technology,region_23,Bachelor's,m,sourcing,1,30,0.0,1,0,77,0,0,high,1,0.02702702702702703
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,50,1,0,medium,1,0.08108108108108109
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5.0,5,0,49,0,0,medium,1,0.13513513513513514
38401,Technology,region_29,Master's & above,m,other,2,39,3.0,16,0,80,0,0,high,2,0.43243243243243246
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3.0,7,0,84,0,0,very_high,2,0.1891891891891892
43931,Operations,region_7,Bachelor's,m,other,1,37,1.0,10,0,60,0,0,medium,1,0.2702702702702703
7152,Technology,region_2,Bachelor's,m,other,1,38,3.0,5,0,77,0,0,high,1,0.13513513513513514
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1.0,4,0,51,0,0,medium,1,0.10810810810810811
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5.0,8,0,46,0,0,medium,1,0.21621621621621623
54461,Operations,region_15,Bachelor's,m,other,1,37,3.0,9,0,59,0,0,medium,1,0.24324324324324326
12067,Procurement,region_14,Bachelor's,m,other,1,35,3.0,7,0,75,0,0,high,1,0.1891891891891892
33332,Operations,region_15,Bachelor's,m,sourcing,1,41,4.0,11,0,57,0,0,medium,1,0.2972972972972973
58789,Finance,region_11,Bachelor's,f,other,1,28,3.0,4,0,63,0,0,high,1,0.10810810810810811
71177,Procurement,region_5,Bachelor's,m,other,1,27,0.0,1,0,70,0,0,high,1,0.02702702702702703
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5.0,7,0,59,0,0,medium,2,0.1891891891891892
26585,Technology,region_22,Bachelor's,m,other,1,27,5.0,3,0,83,0,0,very_high,1,0.08108108108108109
37749,Procurement,region_26,Bachelor's,m,other,1,31,5.0,4,0,68,0,0,high,1,0.10810810810810811
2370,Technology,region_26,Bachelor's,m,other,1,33,4.0,4,0,79,0,0,high,1,0.10810810810810811
8219,Analytics,region_5,Bachelor's,m,other,1,29,5.0,3,0,80,0,0,high,1,0.08108108108108109
74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,0.0,1,0,44,0,0,medium,1,0.02702702702702703
27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5.0,10,0,72,0,0,high,1,0.2702702702702703
58536,Finance,region_31,Bachelor's,m,other,2,26,1.0,2,0,61,0,0,high,1,0.05405405405405406
35465,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,24,1.0,2,0,48,0,0,medium,1,0.05405405405405406
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4.0,6,0,58,0,0,medium,1,0.16216216216216217
57011,Analytics,region_22,Bachelor's,m,other,2,27,5.0,3,0,87,0,0,very_high,1,0.08108108108108109
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2.0,4,0,47,0,0,medium,1,0.10810810810810811
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4.0,4,0,75,0,0,high,1,0.10810810810810811
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5.0,3,0,47,0,0,medium,1,0.08108108108108109
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5.0,5,0,51,0,0,medium,2,0.13513513513513514
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5.0,6,0,51,1,0,medium,1,0.16216216216216217
25014,Technology,region_15,Bachelor's,m,other,1,34,3.0,10,0,80,0,0,high,1,0.2702702702702703
40097,Operations,region_2,Bachelor's,f,other,2,23,4.0,2,0,57,0,0,medium,1,0.05405405405405406
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4.0,26,0,52,0,0,medium,1,0.7027027027027027
17423,Sales & Marketing,region_2,Bachelor's,m,other,3,24,2.0,2,0,48,0,0,medium,1,0.05405405405405406
61758,Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,0,88,0,0,very_high,1,0.32432432432432434
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,71,0,0,high,1,0.2972972972972973
17876,Procurement,region_13,Master's & above,f,other,1,37,4.0,4,0,71,0,0,high,2,0.10810810810810811
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,80,0,0,high,1,0.2972972972972973
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3.0,3,0,49,0,0,medium,1,0.08108108108108109
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,12,0,73,0,0,high,2,0.32432432432432434
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4.0,2,0,60,0,0,medium,1,0.05405405405405406
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,48,0,0,medium,1,0.21621621621621623
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,0,65,0,0,high,1,0.32432432432432434
33690,HR,region_22,Bachelor's,m,other,1,30,1.0,6,0,50,0,0,medium,1,0.16216216216216217
73161,Operations,region_22,Bachelor's,m,other,1,39,3.0,5,0,62,0,0,high,1,0.13513513513513514
13596,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,85,0,0,very_high,1,0.05405405405405406
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,0.0,1,0,49,0,0,medium,1,0.02702702702702703
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,0,84,0,0,very_high,2,0.13513513513513514
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,0.0,1,0,47,0,0,medium,1,0.02702702702702703
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4.0,7,0,52,0,0,medium,1,0.1891891891891892
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,0,47,1,0,medium,2,0.4594594594594595
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,53,0,0,medium,1,0.08108108108108109
9150,Analytics,region_22,Bachelor's,f,other,1,28,0.0,1,0,80,0,0,high,1,0.02702702702702703
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,0,52,0,0,medium,2,0.05405405405405406
58747,R&D,region_26,Bachelor's,m,other,1,34,5.0,5,0,87,0,0,very_high,1,0.13513513513513514
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,0,58,0,0,medium,2,0.08108108108108109
77981,Finance,region_22,Bachelor's,m,other,1,27,0.0,1,1,58,1,1,medium,1,0.02702702702702703
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,0.0,1,0,61,1,0,high,1,0.02702702702702703
73729,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,0,75,0,0,high,1,0.16216216216216217
45624,Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,0,84,1,0,very_high,1,0.1891891891891892
75677,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,0,59,0,0,medium,1,0.13513513513513514
24040,Technology,region_22,Master's & above,m,other,1,34,5.0,7,0,78,1,0,high,2,0.1891891891891892
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,52,0,0,medium,2,0.32432432432432434
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,44,0,0,medium,1,0.16216216216216217
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,52,0,0,medium,1,0.3783783783783784
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,0,49,1,0,medium,2,0.05405405405405406
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,51,0,0,medium,1,0.13513513513513514
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,0,53,0,0,medium,1,0.08108108108108109
7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,0,91,0,0,very_high,1,0.05405405405405406
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,58,1,0,medium,1,0.08108108108108109
53092,Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,79,0,0,high,1,0.1891891891891892
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,53,0,0,medium,2,0.1891891891891892
66013,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,25,3.0,2,0,53,0,0,medium,1,0.05405405405405406
77135,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,82,0,0,very_high,1,0.21621621621621623
44575,Legal,region_7,Bachelor's,m,other,1,29,0.0,1,0,65,1,0,high,1,0.02702702702702703
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,0,60,1,0,medium,2,0.2972972972972973
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,52,0,0,medium,1,0.16216216216216217
69094,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,39,1.0,9,0,49,0,0,medium,1,0.24324324324324326
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,0,69,1,0,high,2,0.08108108108108109
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,0.0,1,0,51,0,0,medium,1,0.02702702702702703
62658,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,20,0.0,1,0,55,0,0,medium,1,0.02702702702702703
21628,Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,85,0,0,very_high,1,0.21621621621621623
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,0,74,0,0,high,2,0.08108108108108109
44523,HR,region_2,Master's & above,m,other,1,47,3.0,7,0,44,0,0,medium,2,0.1891891891891892
35420,Operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,53,0,0,medium,1,0.35135135135135137
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,0,86,0,0,very_high,1,0.10810810810810811
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,0.0,1,0,77,0,0,high,1,0.02702702702702703
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,57,0,0,medium,1,0.13513513513513514
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,0,52,0,0,medium,1,0.32432432432432434
51256,Finance,region_2,Master's & above,m,other,1,60,5.0,17,0,59,0,0,medium,2,0.4594594594594595
